SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,35200,Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13073,Wahluke,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,36401,Waitsburg,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,36140,Walla Walla,12,9,0,0,0,1,2,9,12,6,3,50.0,25.0,25.0
2010-11,39207,Wapato,2,2,0,0,0,1,0,2,2,1,0,50.0,50.0,0.0
2010-11,13146,Warden,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06112,Washougal,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,01109,Washtucna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09209,Waterville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33049,Wellpinit,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04246,Wenatchee,2,2,0,0,0,0,1,1,3,1,1,33.3,33.3,33.3
2010-11,32363,West Valley (Spokane),4,0,1,0,0,0,1,0,4,2,0,50.0,50.0,0.0
2010-11,39208,West Valley (Yakima),5,3,0,0,0,0,0,4,4,4,0,100.0,0.0,0.0
2010-11,21303,White Pass,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27416,White River,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,20405,White Salmon Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22200,Wilbur,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,25160,Willapa Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13167,Wilson Creek,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21232,Winlock,3,1,0,0,0,1,0,2,2,1,0,50.0,50.0,0.0
2010-11,14117,Wishkah Valley,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,20094,Wishram,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,08404,Woodland,3,4,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2010-11,39007,Yakima,61,9,0,1,1,4,2,31,39,27,4,69.2,20.5,10.3
2010-11,34002,Yelm,14,10,0,0,0,1,3,14,10,6,0,60.0,40.0,0.0
2010-11,39205,Zillah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
