SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,26056,Newport,7,4,0,1,0,2,2,3,8,2,1,25.0,62.5,12.5
2010-11,32325,Nine Mile Falls,21,3,0,0,1,0,0,9,15,13,1,86.7,6.7,6.7
2010-11,37506,Nooksack Valley,26,8,0,0,0,0,2,11,23,20,1,87.0,8.7,4.3
2010-11,14064,North Beach,11,4,0,0,0,0,1,9,6,5,0,83.3,16.7,0.0
2010-11,11051,North Franklin,17,5,0,0,0,1,2,7,15,12,0,80.0,20.0,0.0
2010-11,18400,North Kitsap,79,13,1,0,3,8,9,27,65,25,19,38.5,32.3,29.2
2010-11,23403,North Mason,32,7,0,1,1,1,2,11,28,19,4,67.9,17.9,14.3
2010-11,25200,North River,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,34003,North Thurston,138,59,1,1,4,11,14,95,102,71,0,69.6,30.4,0.0
2010-11,33211,Northport,2,0,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2010-11,17417,Northshore,228,30,0,1,3,11,4,73,185,146,20,78.9,10.3,10.8
2010-11,15201,Oak Harbor,42,23,0,0,1,1,1,26,39,32,4,82.1,7.7,10.3
2010-11,38324,Oakesdale,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,14400,Oakville,6,0,0,0,0,1,0,1,5,2,2,40.0,20.0,40.0
2010-11,25101,Ocean Beach,12,7,0,0,0,2,0,10,9,7,0,77.8,22.2,0.0
2010-11,14172,Ocosta,5,3,0,0,2,0,0,5,3,1,0,33.3,66.7,0.0
2010-11,22105,Odessa,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,34974,Office of the Governor (School for the Blind),6,7,0,0,0,0,0,3,10,5,5,50.0,0.0,50.0
2010-11,24105,Okanogan,11,2,0,1,0,0,0,6,7,5,1,71.4,14.3,14.3
2010-11,34111,Olympia,92,22,0,0,2,10,10,42,72,46,4,63.9,30.6,5.6
2010-11,24019,Omak,19,6,0,0,0,0,1,10,15,14,0,93.3,6.7,0.0
2010-11,21300,Onalaska,6,6,0,0,0,0,1,7,5,4,0,80.0,20.0,0.0
2010-11,28137,Orcas Island,4,2,0,0,0,0,0,1,5,4,1,80.0,0.0,20.0
2010-11,24410,Oroville,6,5,0,0,0,2,0,5,6,4,0,66.7,33.3,0.0
2010-11,27344,Orting,25,8,1,0,2,1,0,7,26,18,4,69.2,15.4,15.4
2010-11,01147,Othello,34,3,0,1,0,2,3,12,25,17,2,68.0,24.0,8.0
2010-11,38301,Palouse,2,1,0,0,0,0,0,1,2,1,1,50.0,0.0,50.0
2010-11,11001,Pasco,106,19,1,1,10,10,10,42,83,39,12,47.0,38.6,14.5
2010-11,24122,Pateros,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,21301,Pe Ell,3,0,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,27401,Peninsula,93,10,0,2,3,5,6,31,72,47,9,65.3,22.2,12.5
2010-11,12110,Pomeroy,4,2,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2010-11,05121,Port Angeles,63,11,1,5,3,5,4,26,48,28,2,58.3,37.5,4.2
2010-11,16050,Port Townsend,20,6,0,2,1,0,0,8,18,12,3,66.7,16.7,16.7
2010-11,36402,Prescott,0,5,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2010-11,03116,Prosser,27,3,0,0,0,4,0,10,20,9,7,45.0,20.0,35.0
2010-11,38267,Pullman,17,5,0,0,2,3,0,4,18,11,2,61.1,27.8,11.1
2010-11,27003,Puyallup,214,53,0,5,14,19,5,66,201,139,19,69.2,21.4,9.5
2010-11,16048,Quilcene,2,2,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2010-11,05402,Quillayute Valley,7,4,0,0,0,1,1,4,7,3,2,42.9,28.6,28.6
2010-11,13144,Quincy,27,4,0,2,3,4,1,3,28,15,3,53.6,35.7,10.7
2010-11,34307,Rainier,9,5,0,0,0,1,0,9,5,4,0,80.0,20.0,0.0
2010-11,25116,Raymond,7,1,0,0,1,0,1,2,6,2,2,33.3,33.3,33.3
2010-11,22009,Reardan-Edwall,6,2,0,0,1,0,0,3,5,4,0,80.0,20.0,0.0
2010-11,17403,Renton,150,45,2,5,10,4,8,90,105,69,7,65.7,27.6,6.7
2010-11,10309,Republic,4,1,0,0,0,0,1,0,5,2,2,40.0,20.0,40.0
2010-11,03400,Richland,109,24,0,0,7,7,1,42,91,70,6,76.9,16.5,6.6
2010-11,06122,Ridgefield,21,3,0,0,0,0,2,12,12,9,1,75.0,16.7,8.3
2010-11,01160,Ritzville,2,1,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2010-11,32416,Riverside,26,11,0,1,0,0,0,15,22,20,1,90.9,4.5,4.5
2010-11,17407,Riverview,39,5,0,1,1,4,2,12,32,20,4,62.5,25.0,12.5
2010-11,34401,Rochester,27,11,0,0,2,1,3,19,19,12,1,63.2,31.6,5.3
2010-11,38320,Rosalia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13160,Royal,16,3,0,0,0,0,1,11,8,7,0,87.5,12.5,0.0
2010-11,28149,San Juan Island,10,2,0,0,2,0,0,2,10,7,1,70.0,20.0,10.0
2010-11,17001,Seattle,496,72,4,10,8,28,39,187,381,243,49,63.8,23.4,12.9
2010-11,29101,Sedro-Woolley,48,16,0,1,2,2,0,39,25,19,1,76.0,20.0,4.0
2010-11,39119,Selah,42,21,0,3,3,1,3,21,42,26,6,61.9,23.8,14.3
2010-11,26070,Selkirk,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,05323,Sequim,25,8,0,1,0,2,3,11,22,12,4,54.5,27.3,18.2
2010-11,23309,Shelton,55,23,0,0,1,12,6,27,51,26,6,51.0,37.3,11.8
2010-11,17412,Shoreline,98,22,0,1,3,2,2,41,79,59,12,74.7,10.1,15.2
2010-11,17404,Skykomish,3,2,0,0,1,0,0,3,2,1,0,50.0,50.0,0.0
2010-11,31201,Snohomish,94,31,0,0,0,6,6,36,89,71,6,79.8,13.5,6.7
2010-11,17410,Snoqualmie Valley,34,8,0,0,0,1,2,13,29,19,7,65.5,10.3,24.1
2010-11,13156,Soap Lake,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,25118,South Bend,7,1,1,1,0,0,0,3,5,3,0,60.0,40.0,0.0
2010-11,18402,South Kitsap,110,28,0,1,10,4,9,45,93,58,11,62.4,25.8,11.8
2010-11,15206,South Whidbey,24,3,0,0,0,0,2,3,24,22,0,91.7,8.3,0.0
2010-11,32081,Spokane,318,72,5,10,18,13,23,148,242,159,14,65.7,28.5,5.8
2010-11,22008,Sprague,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,38322,St. John,4,0,0,0,0,1,0,2,2,1,0,50.0,50.0,0.0
2010-11,31401,Stanwood-Camano,55,11,1,2,1,2,3,15,51,36,6,70.6,17.6,11.8
2010-11,27001,Steilacoom Historical,22,3,0,0,0,1,1,10,15,13,0,86.7,13.3,0.0
2010-11,30303,Stevenson-Carson,23,2,1,0,0,3,2,13,12,6,0,50.0,50.0,0.0
2010-11,31311,Sultan,34,10,0,1,0,6,5,16,28,14,2,50.0,42.9,7.1
2010-11,27320,Sumner,73,19,1,2,2,2,2,32,60,43,8,71.7,15.0,13.3
2010-11,39201,Sunnyside,56,14,6,1,6,6,2,19,51,24,6,47.1,41.2,11.8
2010-11,27010,Tacoma,264,69,1,7,8,29,27,160,173,84,17,48.6,41.6,9.8
2010-11,14077,Taholah,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,17409,Tahoma,69,14,0,2,2,4,4,29,54,38,4,70.4,22.2,7.4
2010-11,38265,Tekoa,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,34402,Tenino,17,11,0,0,0,2,1,11,17,7,7,41.2,17.6,41.2
2010-11,19400,Thorp,3,0,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
