SchoolYear,Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,36401,Waitsburg,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,36140,Walla Walla,184,42,0,2,4,10,19,41,185,138,12,74.6,18.9,6.5
2013-14,39207,Wapato,153,30,2,4,7,10,6,22,161,130,2,80.7,18.0,1.2
2013-14,13146,Warden,45,8,1,2,2,3,3,4,49,38,0,77.6,22.4,0.0
2013-14,06112,Washougal,18,6,0,0,1,1,0,8,16,14,0,87.5,12.5,0.0
2013-14,01109,Washtucna,,,,,,,,,,,,n/a,n/a,n/a
2013-14,09209,Waterville,9,1,0,0,0,0,0,1,9,9,0,100.0,0.0,0.0
2013-14,33049,Wellpinit,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,04246,Wenatchee,243,35,6,7,14,33,14,13,265,174,17,65.7,27.9,6.4
2013-14,32363,West Valley (Spokane),18,1,0,0,0,0,0,3,16,16,0,100.0,0.0,0.0
2013-14,39208,West Valley (Yakima),47,18,5,2,4,5,2,6,59,41,0,69.5,30.5,0.0
2013-14,21303,White Pass,1,1,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,27416,White River,30,4,0,0,1,1,2,6,28,24,0,85.7,14.3,0.0
2013-14,20405,White Salmon Valley,26,4,0,0,0,1,2,3,27,24,0,88.9,11.1,0.0
2013-14,22200,Wilbur,2,1,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
2013-14,25160,Willapa Valley,2,1,0,0,1,0,0,0,3,2,0,66.7,33.3,0.0
2013-14,13167,Wilson Creek,,,,,,,,,,,,n/a,n/a,n/a
2013-14,21232,Winlock,9,2,0,0,0,0,0,0,11,11,0,100.0,0.0,0.0
2013-14,14117,Wishkah Valley,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,20094,Wishram,,,,,,,,,,,,n/a,n/a,n/a
2013-14,08404,Woodland,21,7,0,3,2,2,2,5,23,11,3,47.8,39.1,13.0
2013-14,39007,Yakima,695,235,10,24,55,96,73,130,800,492,50,61.5,32.3,6.3
2013-14,34002,Yelm,35,10,0,0,2,5,2,8,37,25,3,67.6,24.3,8.1
2013-14,39205,Zillah,40,8,0,0,1,1,0,4,44,40,2,90.9,4.5,4.5
